124,Streptococcus mitis,,,,,,,Stenotrophomonas maltophilia,9999,
125,Streptococcus mutans,,,,,,,Staphylococcus epidermidis,1.1737,9111541
126,Streptococcus pneumoniae,,,,,,,Candida albicans,1.1439,35404123
127,Streptococcus pneumoniae serotype 4,,,,,,,Streptococcus mutans,1.1031,33402618
128,Streptococcus pyogenes,,,,,,,Burkholderia cenocepacia,1.0831,3411618
129,Streptococcus sanguis,,,,,,,Burkholderia multivorans,1.0761,34524889
130,Streptomyces rubiginosus,,,,,,,Enteric bacteria and other eubacteria,1.0622,36682905?
131,Streptomyces sp.,,,,,,,Streptococcus pneumoniae,1.029,15155208?
132,Thermus thermophilus,,,,,,,Enterococcus faecalis,1.0084,35329718?
133,Trichophyton mentagrophytes,,,,,,,Vibrio vulnificus,1.0033,28971862
134,Trueperella pyogenes,,,,,,,Streptococcus pneumoniae serotype 4,0.9982,22737489
135,Varicella-zoster virus,,,,,,,Vibrio anguillarum,0.9754,36735199
136,Vibrio anguillarum,,,,,,,Vibrio harveyi,0.952,27247095
137,Vibrio campbellii,,,,,,,Mycobacterium avium,0.9077,30012773
138,Vibrio cholerae,,,,,,,Enterobacter cancerogenus,0.8921,23980710
139,Vibrio harveyi,,,,,,,Enterobacter ludwigi,0.8883,28223374
140,Vibrio parahaemolyticus,,,,,,,Yersinia enterocolitica,0.8879,11053072
141,Vibrio vulnificus,,,,,,,Klebsiella variicola,0.8872,37008750
142,Yersinia enterocolitica,,,,,,,Raoultella ornithinolytica,0.8847,32292483
,,,,,,,,Human immunodeficiency virus 1,0.8728,9566552
,,,,,,,,Vibrio parahaemolyticus,0.8699,35727114
